Date,Open,High,Low,Close,Adj Close,Volume
8/26/2020,287.1499939,292.2200012,285.8299866,291.9599915,286.658905,42216700
8/27/2020,292.9700012,293.8500061,288.7099915,291.0499878,285.7654114,49482700
8/28/2020,292.3299866,293.1799927,290.9299927,292.5299988,287.2185364,28021000
8/31/2020,293.0700073,296.75,292.6199951,294.8800049,289.5259094,36321000
9/1/2020,297.6199951,300.0400085,295.7900085,299.9200134,294.4744263,36216200
9/2/2020,303.2799988,303.5,296.8900146,302.7600098,297.2627563,50836800
9/3/2020,298.1000061,298.6199951,284.4100037,287.4100037,282.1914978,110083300
9/4/2020,285.5599976,288.9299927,271.7999878,283.5799866,278.4310303,123959000
9/8/2020,272.2200012,278.2200012,269.6600037,269.9500122,265.0485535,99568600
9/9/2020,275.6400146,280.0499878,273,277.8800049,272.8345032,64837900
9/10/2020,280.9400024,282.2000122,270.5599976,272.3399963,267.3952026,69667500
9/11/2020,274.1499939,275.2200012,266.8999939,270.4500122,265.5394592,71809000
9/14/2020,274.3599854,277.2200012,272.9599915,275.1600037,270.1639709,38525200
9/15/2020,279.0299988,280.4500122,275.1300049,279.0599976,273.9930725,41849900
9/16/2020,279.8800049,280.3599854,274.25,274.6099854,269.6238708,42321000
9/17/2020,267.5499878,274.3999939,266.6799927,270.3200073,265.4118347,81570800
9/18/2020,271.7900085,272.0899963,262.6300049,266.8699951,262.0245056,86251100
9/21/2020,262.4700012,267.6499939,260.1099854,267.5100098,262.6528625,57168600
9/22/2020,269.9899902,273.0799866,266.5400085,272.480011,267.5325928,41128900
9/23/2020,272.1499939,272.3399963,263.25,264.1600037,259.3637085,48837300
9/24/2020,261.3900146,268.7000122,261.2200012,265.3900146,260.5713501,70631700
9/25/2020,265.9100037,272.3999939,264.2999878,271.5599976,266.6292419,55242400
9/28/2020,276.5799866,277.2000122,271.6700134,277.2000122,272.1669617,58438300
9/29/2020,276.6199951,277.7099915,275.3699951,275.9500122,270.9396362,27050000
9/30/2020,276.1499939,281.0899963,275.8699951,277.8399963,272.7953186,49380800
10/1/2020,281.7900085,282.8800049,279.8399963,282.25,277.1252136,50020200
10/2/2020,276.019989,282.2399902,273.4400024,274.3099976,269.3293457,75497400
10/5/2020,276.3399963,280.4899902,276.230011,280.1600037,275.0731812,28184600
10/6/2020,279.4500122,281.1900024,274.25,275.1600037,270.1639709,49704200
10/7/2020,277.8900146,280.7399902,277.2799988,279.9200134,274.8375244,27539700
10/8/2020,282.3999939,282.4700012,280.3099976,281.4100037,276.3004456,25443300
10/9/2020,283.1099854,285.7900085,282.7099915,285.7099915,280.5223999,30201100
10/12/2020,290.5499878,297.4599915,289.4700012,294.5299988,289.182251,79370700
10/13/2020,296.3900146,297.0499878,293.1099854,294.519989,289.1723938,64240000
10/14/2020,295.3500061,296.3500061,290.2600098,292.0599976,286.7570496,36949100
10/15/2020,287.2000122,290.7099915,286.5400085,290.1000061,284.8327026,42514200
10/16/2020,291.7999878,293.269989,288.1499939,288.5100098,283.2715454,40570700
10/19/2020,290.4899902,291.480011,282.7900085,283.7999878,278.6470032,36756800
10/20/2020,284.5599976,287.6199951,282.9500122,284.4100037,279.2459717,32195400
10/21/2020,284.6700134,287.3200073,283.6900024,284.1900024,279.0299683,29306100
10/22/2020,285.0499878,285.980011,280.8200073,284.1799927,279.0201416,32196200
10/23/2020,284.769989,284.9100037,281.7799988,284.7399902,279.5700378,24658500
10/26/2020,282.3800049,285.2999878,276.7600098,280.4700012,275.3774414,38421100
10/27/2020,281.5,283.5100098,280.2000122,282.6600037,277.5277405,30559100
10/28/2020,278.0100098,278.6400146,271.3800049,271.6400146,266.7078552,53413500
10/29/2020,273,279.4899902,272.519989,276.3900146,271.3716125,43246300
10/30/2020,274.3399963,275.2399902,267.0700073,269.3800049,264.4888916,65838300
11/2/2020,271.8500061,273.519989,266.9700012,269.980011,265.0780029,39987400
11/3/2020,271.9599915,276.8200073,270.8399963,274.6499939,269.663208,43604100
11/4/2020,283.5899963,288.769989,281.8699951,286.9100037,281.700592,75728200
11/5/2020,293.5299988,295.3900146,292,294.3900146,289.0447998,52054200
11/6/2020,293.7099915,295.3599854,289.8299866,294.6099854,289.2607727,40959800
11/9/2020,297.6499939,299.1400146,288.1199951,288.5899963,283.3500977,86537100
11/10/2020,285.1700134,286.6600037,280.6199951,283.4200134,278.2739563,69024900
11/11/2020,286.0299988,290.25,283.3800049,289.7600098,284.4988403,36102900
